trial_number,experiment,item,condition,condition_id,quantifier,scenario,sentence,expected,response,correct,reaction_time_ms,image
1,ESQ,11,1,5,more,empty_restrictor,超过三个圆圈是黄色的吗？,奇怪的问题,不，不是真的,0,15563,pic11_empty_restrictor.svg
2,ESQ,13,2,14,no,empty_scope,三角形不是黑色的吗？,是的，没错,是的，没错,1,3287,pic13_empty_scope.svg
3,DIST,107,2,2,every,target_target_right,每个方块是绿色还是黄色？,是的，没错,奇怪的问题,0,8303,pic107_target_target_right.svg
4,ESQ,12,2,2,less,empty_scope,少于四个十字架是灰色的吗？,是的，没错,是的，没错,1,4687,pic12_empty_scope.svg
5,ESQ,15,3,11,every,small_control,每个三角形都是蓝色的吗？,不，不是真的,不，不是真的,1,2055,pic15_small_control.svg
6,DIST,106,3,7,every,true_control_target_left,每个三角形是蓝色还是黄色？,是的，没错,奇怪的问题,0,6013,pic106_true_control_target_left.svg
7,ESQ,12,4,16,no,large_control,不是有十字灰色吗？,不，不是真的,奇怪的问题,0,4852,pic12_large_control.svg
8,DIST,110,2,6,every,target_target_left,每个圆圈是黄色还是红色？,是的，没错,奇怪的问题,0,4905,pic110_target_target_left.svg
9,ESQ,14,1,1,less,empty_restrictor,少于四个十字架是粉红色的吗？,奇怪的问题,是的，没错,0,6720,pic14_empty_restrictor.svg
10,ESQ,18,2,6,more,empty_scope,超过四个方块是橙色的吗？,不，不是真的,不，不是真的,1,3732,pic18_empty_scope.svg
11,DIST,103,2,6,every,target_target_left,每颗心是黄色还是绿松石色？,是的，没错,奇怪的问题,0,2886,pic103_target_target_left.svg
12,DIST,106,1,1,every,psp_violation_target_right,每个三角形是黄色还是蓝色？,奇怪的问题,奇怪的问题,1,2508,pic106_psp_violation_target_right.svg
13,Filler,1013,10,10,,psp_failure_both,这两个十字都是紫色的吗？,奇怪的问题,不，不是真的,0,6757,pic5_empty_restrictor.svg
14,ESQ,17,1,1,less,empty_restrictor,少于三个方块是紫色的吗？,奇怪的问题,是的，没错,0,5765,pic17_empty_restrictor.svg
15,Filler,403,2,2,,at_most_zero,最多有四个三角形是棕色的吗？,是的，没错,奇怪的问题,0,27792,pic8_empty_scope.svg
16,ESQ,8,1,5,more,empty_restrictor,超过三个圆圈是灰色的吗？,奇怪的问题,不，不是真的,0,6139,pic8_empty_restrictor.svg
17,ESQ,10,4,16,no,large_control,圆圈不是绿松石吗？,不，不是真的,奇怪的问题,0,4312,pic10_large_control.svg
18,ESQ,8,1,13,no,empty_restrictor,圆圈不是灰色的吗？,奇怪的问题,奇怪的问题,1,11738,pic8_empty_restrictor.svg
19,ESQ,20,3,15,no,small_control,心不是粉红色的吗？,不，不是真的,不，不是真的,1,10877,pic20_small_control.svg
20,ESQ,13,4,16,no,large_control,三角形不是黑色的吗？,不，不是真的,不，不是真的,1,4181,pic13_large_control.svg
