Experiment,Item,Condition,Condition_ID,quantifier,scenario,n_quantifier,n_target_objects,shape_noun,color_adjective1,color_adjective2,Sentence_german,Expected_answer,list,target_objects,Form_left,colour1_left,n_colour1_left,colour2_left,n_colour2_left,Form_right,colour1_right,n_colour1_right,colour2_right,n_colour2_right
ESQ,1,1,1,less,empty_restrictor,3.0,5.0,square,blau,,Sind weniger als drei Quadrate blau?,komische frage,1,right,circle,blue,3,red,4,triangle,blue,3,red,2
ESQ,1,2,2,less,empty_scope,3.0,5.0,square,blau,,Sind weniger als drei Quadrate blau?,"ja, stimmt",2,right,circle,blue,3,red,4,square,blue,0,red,5
ESQ,1,3,3,less,small_control,3.0,5.0,square,blau,,Sind weniger als drei Quadrate blau?,"ja, stimmt",3,right,circle,blue,3,red,4,square,blue,1,red,4
ESQ,1,4,4,less,large_control,3.0,5.0,square,blau,,Sind weniger als drei Quadrate blau?,"nein, stimmt nicht",4,right,circle,blue,3,red,4,square,blue,5,red,0
ESQ,1,1,5,more,empty_restrictor,3.0,5.0,square,blau,,Sind mehr als drei Quadrate blau?,komische frage,2,right,circle,blue,3,red,4,triangle,blue,3,red,2
ESQ,1,2,6,more,empty_scope,3.0,5.0,square,blau,,Sind mehr als drei Quadrate blau?,"nein, stimmt nicht",3,right,circle,blue,3,red,4,square,blue,0,red,5
ESQ,1,3,7,more,small_control,3.0,5.0,square,blau,,Sind mehr als drei Quadrate blau?,"nein, stimmt nicht",4,right,circle,blue,3,red,4,square,blue,1,red,4
ESQ,1,4,8,more,large_control,3.0,5.0,square,blau,,Sind mehr als drei Quadrate blau?,"ja, stimmt",1,right,circle,blue,3,red,4,square,blue,5,red,0
ESQ,1,1,9,every,empty_restrictor,3.0,5.0,square,blau,,Ist jedes Quadrat blau?,komische frage,3,right,circle,blue,3,red,4,triangle,blue,3,red,2
ESQ,1,2,10,every,empty_scope,3.0,5.0,square,blau,,Ist jedes Quadrat blau?,"nein, stimmt nicht",4,right,circle,blue,3,red,4,square,blue,0,red,5
ESQ,1,3,11,every,small_control,3.0,5.0,square,blau,,Ist jedes Quadrat blau?,"nein, stimmt nicht",1,right,circle,blue,3,red,4,square,blue,1,red,4
ESQ,1,4,12,every,large_control,3.0,5.0,square,blau,,Ist jedes Quadrat blau?,"ja, stimmt",2,right,circle,blue,3,red,4,square,blue,5,red,0
ESQ,1,1,13,no,empty_restrictor,3.0,5.0,square,blau,,Ist kein Quadrat blau?,komische frage,4,right,circle,blue,3,red,4,triangle,blue,3,red,2
ESQ,1,2,14,no,empty_scope,3.0,5.0,square,blau,,Ist kein Quadrat blau?,"ja, stimmt",1,right,circle,blue,3,red,4,square,blue,0,red,5
ESQ,1,3,15,no,small_control,3.0,5.0,square,blau,,Ist kein Quadrat blau?,"nein, stimmt nicht",2,right,circle,blue,3,red,4,square,blue,1,red,4
ESQ,1,4,16,no,large_control,3.0,5.0,square,blau,,Ist kein Quadrat blau?,"nein, stimmt nicht",3,right,circle,blue,3,red,4,square,blue,5,red,0
ESQ,2,1,1,less,empty_restrictor,4.0,7.0,circle,orange,,Sind weniger als vier Kreise orange?,komische frage,2,right,heart,orange,4,pink,5,cross,orange,3,pink,4
ESQ,2,2,2,less,empty_scope,4.0,7.0,circle,orange,,Sind weniger als vier Kreise orange?,"ja, stimmt",3,right,heart,orange,4,pink,5,circle,orange,0,pink,7
ESQ,2,3,3,less,small_control,4.0,7.0,circle,orange,,Sind weniger als vier Kreise orange?,"ja, stimmt",4,right,heart,orange,4,pink,5,circle,orange,1,pink,6
ESQ,2,4,4,less,large_control,4.0,7.0,circle,orange,,Sind weniger als vier Kreise orange?,"nein, stimmt nicht",1,right,heart,orange,4,pink,5,circle,orange,7,pink,0
ESQ,2,1,5,more,empty_restrictor,4.0,7.0,circle,orange,,Sind mehr als vier Kreise orange?,komische frage,3,right,heart,orange,4,pink,5,cross,orange,3,pink,4
