Experiment,Item,Condition,Condition_ID,quantifier,scenario,n_quantifier,n_target_objects,shape_noun,color_adjective1_zh,color_adjective2_zh,Sentence_chinese,Expected_answer_zh,list,target_objects,Form_left,colour1_left,n_colour1_left,colour2_left,n_colour2_left,Form_right,colour1_right,n_colour1_right,colour2_right,n_colour2_right,Image,Type
ESQ,1,1,1,less,empty_restrictor,3.0,5.0,square,蓝色,,小于三个正方形是蓝色的吗？,有趣的问题,1,right,circle,blue,3,red,4,triangle,blue,3,red,2,pic1_empty_restrictor.svg,Trial
ESQ,1,2,2,less,empty_scope,3.0,5.0,square,蓝色,,小于三个正方形是蓝色的吗？,对的,2,right,circle,blue,3,red,4,square,blue,0,red,5,pic1_empty_scope.svg,Trial
ESQ,1,3,3,less,small_control,3.0,5.0,square,蓝色,,小于三个正方形是蓝色的吗？,对的,3,right,circle,blue,3,red,4,square,blue,1,red,4,pic1_small_control.svg,Trial
ESQ,1,4,4,less,large_control,3.0,5.0,square,蓝色,,小于三个正方形是蓝色的吗？,不对,4,right,circle,blue,3,red,4,square,blue,5,red,0,pic1_large_control.svg,Trial
ESQ,1,1,5,more,empty_restrictor,3.0,5.0,square,蓝色,,是否超过三个正方形是蓝色的？,有趣的问题,2,right,circle,blue,3,red,4,triangle,blue,3,red,2,pic1_empty_restrictor.svg,Trial
ESQ,1,2,6,more,empty_scope,3.0,5.0,square,蓝色,,是否超过三个正方形是蓝色的？,不对,3,right,circle,blue,3,red,4,square,blue,0,red,5,pic1_empty_scope.svg,Trial
ESQ,1,3,7,more,small_control,3.0,5.0,square,蓝色,,是否超过三个正方形是蓝色的？,不对,4,right,circle,blue,3,red,4,square,blue,1,red,4,pic1_small_control.svg,Trial
ESQ,1,4,8,more,large_control,3.0,5.0,square,蓝色,,是否超过三个正方形是蓝色的？,对的,1,right,circle,blue,3,red,4,square,blue,5,red,0,pic1_large_control.svg,Trial
ESQ,1,1,9,every,empty_restrictor,3.0,5.0,square,蓝色,,每个方块都是蓝色的吗？,有趣的问题,3,right,circle,blue,3,red,4,triangle,blue,3,red,2,pic1_empty_restrictor.svg,Trial
ESQ,1,2,10,every,empty_scope,3.0,5.0,square,蓝色,,每个方块都是蓝色的吗？,不对,4,right,circle,blue,3,red,4,square,blue,0,red,5,pic1_empty_scope.svg,Trial
ESQ,1,3,11,every,small_control,3.0,5.0,square,蓝色,,每个方块都是蓝色的吗？,不对,1,right,circle,blue,3,red,4,square,blue,1,red,4,pic1_small_control.svg,Trial
ESQ,1,4,12,every,large_control,3.0,5.0,square,蓝色,,每个方块都是蓝色的吗？,对的,2,right,circle,blue,3,red,4,square,blue,5,red,0,pic1_large_control.svg,Trial
ESQ,1,1,13,no,empty_restrictor,3.0,5.0,square,蓝色,,这不是方形蓝吗？,有趣的问题,4,right,circle,blue,3,red,4,triangle,blue,3,red,2,pic1_empty_restrictor.svg,Trial
ESQ,1,2,14,no,empty_scope,3.0,5.0,square,蓝色,,这不是方形蓝吗？,对的,1,right,circle,blue,3,red,4,square,blue,0,red,5,pic1_empty_scope.svg,Trial
ESQ,1,3,15,no,small_control,3.0,5.0,square,蓝色,,这不是方形蓝吗？,不对,2,right,circle,blue,3,red,4,square,blue,1,red,4,pic1_small_control.svg,Trial
