Experiment,Item,Condition,Condition_ID,quantifier,scenario,n_quantifier,n_target_objects,shape_noun,color_adjective1_zh,color_adjective2_zh,Sentence_chinese,Expected_answer_zh,list,target_objects,Form_left,colour1_left,n_colour1_left,colour2_left,n_colour2_left,Form_right,colour1_right,n_colour1_right,colour2_right,n_colour2_right,Image,Type
ESQ,14,1,9,every,empty_restrictor,4.0,7.0,cross,粉色的,,每个十字架都是粉红色的吗？,奇怪的问题,4,left,heart,pink,3,black,4,triangle,pink,4,black,4,pic14_empty_restrictor.svg,Trial
ESQ,16,2,2,less,empty_scope,4.0,7.0,heart,绿色的,,少于四颗心是绿色的吗？,是的，没错,1,left,heart,green,0,grey,7,cross,green,3,grey,3,pic16_empty_scope.svg,Trial
ESQ,12,4,4,less,large_control,4.0,6.0,cross,灰色的,,少于四个十字架是灰色的吗？,不，不是真的,3,left,cross,grey,6,purple,0,circle,grey,6,purple,2,pic12_large_control.svg,Trial
ESQ,10,3,11,every,small_control,3.0,5.0,circle,绿松石,,每个圆圈都是绿松石吗？,不，不是真的,2,right,cross,turquoise,3,yellow,5,square,turquoise,2,yellow,3,pic10_small_control.svg,Trial
ESQ,17,2,14,no,empty_scope,3.0,6.0,circle,紫色的,,正方形不是紫色的吗？,是的，没错,1,left,square,purple,0,green,6,heart,purple,4,green,3,pic17_empty_scope.svg,Trial
Filler,401,2,2,,at_most_zero,,,Dreiecke,蓝色的,,最多三个三角形是蓝色的吗？,是的，没错,all_lists,left,triangle,blue,0,red,5,square,blue,5,red,5,pic15_empty_scope.svg,Trial
DIST,107,2,2,every,target_target_right,,,Quadrat,绿色的,黄色的,每个方块是绿色还是黄色？,是的，没错,1;2,right,triangle,green,4,yellow,1,square,green,0,yellow,4,pic107_target_target_right.svg,Trial
Filler,405,2,2,,at_most_zero,,,Kreuze,绿松石,,最多只有三个绿松石色的十字架吗？,是的，没错,all_lists,right,heart,turquoise,2,green,4,cross,turquoise,0,green,5,pic6_empty_scope.svg,Trial
ESQ,16,3,11,every,small_control,4.0,7.0,heart,绿色的,,每颗心都是绿色的吗？,不，不是真的,4,left,heart,green,2,grey,5,cross,green,3,grey,3,pic16_small_control.svg,Trial
ESQ,10,1,5,more,empty_restrictor,3.0,5.0,circle,绿松石,,超过三个圆圈是绿松石吗？,奇怪的问题,3,right,cross,turquoise,3,yellow,5,heart,turquoise,3,yellow,2,pic10_empty_restrictor.svg,Trial
