id,experiment,item,condition,quantifier,scenario,sentence,n_quantifier,n_target_objects,response_order,ordered_responses,pictureRT,response,expected_response,image_error,time out,read_time,list
65b4a0c89f9c7,FC,109,7,every,true_control_target_right,Ist jedes Kreuz entweder lila oder grau?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1756,39,"ja, stimmt",False,0,[3310],1
65b4a0c89f9c7,Homogeneity,240,4,NA,all_scenario,Sind die Dreiecke pink?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1563,39,"ja, stimmt",False,0,[985],1
65b4a0c89f9c7,ES_Q,19,9,every,empty_restrictor,Ist jedes Kreuz gelb?,4,6,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",2375,40,komische frage,False,0,[529],1
65b4a0c89f9c7,Filler,1010,10,def_sing,psp_failure_definite_filler,Ist das Herz türkis?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1248,40,komische frage,False,0,[1292],5
65b4a0c89f9c7,Homogeneity,204,4,NA,all_scenario,Sind die Quadrate grün?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1283,39,"ja, stimmt",False,0,[4504],1
65b4a0c89f9c7,SI,314,2,einige,einige_all,Sind einige der Herzen grün?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1195,39,"ja, stimmt",False,0,[959],1
65b4a0c89f9c7,ES_Q,7,3,less,small_control,Sind weniger als vier Quadrate schwarz?,4,6,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",3215,40,"ja, stimmt",False,0,[1212],1
65b4a0c89f9c7,ES_Q,17,8,more,large_control,Sind mehr als drei Quadrate lila?,3,6,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1232,39,"ja, stimmt",False,0,[3241],1
65b4a0c89f9c7,ES_Q,9,8,more,large_control,Sind mehr als vier Dreiecke rot?,4,7,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",2989,39,"ja, stimmt",False,0,[1488],1
65b4a0c89f9c7,FC,107,1,every,psp_violation_target_left,Ist jedes Quadrat entweder gelb oder grün?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",2143,37,komische frage,False,0,[2242],1
65b4a0c89f9c7,Homogeneity,206,3,NA,homogeneity,Sind die Quadrate grau?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",3102,40,"ja, stimmt",False,0,[1305],1
65b4a0c89f9c7,SI,302,2,einige,einige_all,Sind einige der Quadrate blau?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1015,39,"ja, stimmt",False,0,[1495],1
65b4a0c89f9c7,ES_Q,10,10,every,empty_scope,Ist jeder Kreis türkis?,3,5,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",2508,37,"nein, stimmt nicht",False,0,[745],1
65b4a0c89f9c7,Up_to,408,1,up_to,up_to_zero,Sind bis zu fünf Quadrate schwarz?,f√ºnf,10,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1348,40,"nein, stimmt nicht",False,0,[1930],1
65b4a0c89f9c7,ES_Q,17,14,no,empty_scope,Ist kein Quadrat lila?,3,6,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1213,39,"ja, stimmt",False,0,[952],1
65b4a0c89f9c7,ES_Q,8,12,every,large_control,Ist jeder Kreis grau?,3,5,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",2019,39,"ja, stimmt",False,0,[980],1
65b4a0c89f9c7,ES_Q,3,6,more,empty_scope,Sind mehr als vier Herzen grau?,4,6,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",2052,40,"nein, stimmt nicht",False,0,[771],1
65b4a0c89f9c7,SI,317,1,einige,einige_some_but_not_all,Sind einige der Dreiecke schwarz?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1954,39,"ja, stimmt",False,0,[1301],1
65b4a0c89f9c7,ES_Q,7,6,more,empty_scope,Sind mehr als vier Quadrate schwarz?,4,6,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",978,39,"nein, stimmt nicht",False,0,[933],1
65b4a0c89f9c7,ES_Q,18,13,no,empty_restrictor,Ist kein Quadrat orange?,4,7,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",2697,39,komische frage,False,0,[1146],1
65b4a0c89f9c7,Filler,1013,10,both,psp_failure_both,Sind beide Kreuze lila?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",4849,37,komische frage,False,0,[1450],5
65b4a0c89f9c7,Homogeneity,229,1,NA,psp_failure,Sind die Herzen türkis?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",3258,37,komische frage,False,0,[960],1
65b4a0c89f9c7,ES_Q,20,5,more,empty_restrictor,Sind mehr als drei Herzen pink?,3,5,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",3049,37,komische frage,False,0,[2666],1
65b4a0c89f9c7,Filler,1015,10,both,psp_failure_both,Sind beide Kreise grün?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",4021,40,komische frage,False,0,[2450],5
65b4a0c89f9c7,FC,101,1,every,psp_violation_target_left,Ist jedes Dreieck entweder blau oder rot?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",2823,37,komische frage,False,0,[4599],1
